                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.57865,                0.28362,                0.87883,                0.92974,                0.89161,                0.95059,                0.73483,                0.92874,                0.48947,                 1.0582,               0.003664,               0.003664,               0.003664
                     66,                0.57465,                0.28231,                0.87388,                0.93816,                  0.884,                0.94565,                0.72243,                0.93984,                0.51087,                 1.0459,               0.003565,               0.003565,               0.003565
                     67,                 0.5732,                0.28434,                0.87245,                0.92871,                0.89161,                 0.9488,                0.73572,                 0.9217,                0.50623,                 1.0413,               0.003466,               0.003466,               0.003466
                     68,                0.56927,                0.28012,                0.87684,                0.92901,                 0.8923,                0.94631,                0.73694,                0.91603,                0.49669,                 1.0505,               0.003367,               0.003367,               0.003367
                     69,                 0.5605,                0.27319,                0.87685,                0.94286,                0.87587,                 0.9462,                0.73269,                0.95112,                0.51668,                  1.079,               0.003268,               0.003268,               0.003268
                     70,                 0.5554,                0.27337,                0.87641,                0.91446,                0.90331,                0.94481,                0.73012,                0.93408,                0.52047,                 1.0697,               0.003169,               0.003169,               0.003169
                     71,                0.54146,                0.26439,                0.87152,                0.91662,                0.90331,                0.94765,                0.74045,                0.92557,                0.52352,                 1.0584,                0.00307,                0.00307,                0.00307
                     72,                0.54199,                0.26891,                0.87009,                0.91317,                0.91084,                 0.9507,                0.74277,                0.93272,                0.50894,                 1.0682,               0.002971,               0.002971,               0.002971
                     73,                0.54107,                0.26364,                0.86934,                0.90523,                0.91259,                0.94806,                0.73814,                 0.9347,                0.52151,                 1.0746,               0.002872,               0.002872,               0.002872
                     74,                 0.5294,                0.26197,                0.86882,                0.93663,                0.88711,                 0.9444,                0.73975,                0.93026,                0.53369,                 1.0702,               0.002773,               0.002773,               0.002773
                     75,                0.53402,                0.25889,                0.86705,                0.92826,                0.89724,                 0.9486,                0.74387,                 0.9222,                0.51225,                 1.0688,               0.002674,               0.002674,               0.002674
                     76,                0.52938,                0.25948,                0.86548,                0.93249,                0.90152,                0.95202,                0.74088,                0.93096,                0.49291,                 1.0732,               0.002575,               0.002575,               0.002575
                     77,                 0.5221,                0.25764,                0.86373,                0.92188,                0.90089,                0.94586,                0.74248,                0.92637,                0.49689,                 1.0584,               0.002476,               0.002476,               0.002476
                     78,                0.52175,                0.25364,                0.86138,                0.92586,                0.90235,                0.94632,                0.74192,                0.92461,                0.51222,                 1.0579,               0.002377,               0.002377,               0.002377
                     79,                0.50782,                  0.251,                0.85778,                0.92292,                0.90967,                0.94578,                0.73904,                0.93171,                0.50488,                 1.0597,               0.002278,               0.002278,               0.002278
                     80,                0.51023,                0.24978,                0.85681,                0.94371,                0.88403,                0.95023,                 0.7406,                0.92704,                  0.502,                 1.0636,               0.002179,               0.002179,               0.002179
                     81,                0.50336,                0.24934,                0.85379,                0.92502,                0.90583,                0.95474,                0.74095,                0.93177,                 0.5081,                 1.0637,                0.00208,                0.00208,                0.00208
                     82,                0.49777,                  0.244,                0.85317,                0.94277,                0.88321,                0.95135,                0.74392,                0.92463,                0.51327,                  1.062,               0.001981,               0.001981,               0.001981
                     83,                0.49679,                0.24652,                0.85596,                0.94435,                0.88636,                0.94644,                0.73192,                0.94514,                0.51539,                 1.0799,               0.001882,               0.001882,               0.001882
                     84,                0.49834,                0.24521,                0.85416,                0.93084,                0.89977,                0.94393,                0.73395,                0.92933,                0.50629,                 1.0653,               0.001783,               0.001783,               0.001783
